wiêkszoœæ absolutna ; ** ; AD  ; 21 ;
wspólny  jêzyk ; ** ; AC ;  ; 
wspólny  mianownik ; ** ; AC ;  ; 
wspó³czynnik  inteligencji ; *- ; AC ;  ; #wariant: iloraz?
wsteczne  pogl¹dy ; ** ; AG ;  ; 
wstrz¹s  mózgu ; *- ; AC ;  ; 
wstydliwa  choroba ; ** ; AD ;  ; 
wybraniec  losu ; *- ; AA ;  ; 
wybryk  natury ; *- ; AC ;  ; 
wychowanie *AEBAA fizyczne ; ** ; AE ;  ; 
wyciskacz  ³ez ; *- ; AC ;  ; 
wydzia³  filologiczny ; ** ; AC ;  ; 
wydzia³  historyczny ; ** ; AC ;  ; 
wydzia³  humanistyczny ; ** ; AC ;  ; 
wydzia³  lekarski ; ** ; AC ;  ; 
wydzia³  matematyczny ; ** ; AC ;  ; 
wydzia³  rolniczy ; ** ; AC ;  ; +inne wydzia³y
wyjœcie  bezpieczeñstwa ; *- ; AE ;  ; 
wykapana  matka ; ** ; AD ;  ; 
wykapany *CAB ojciec ; ** ; AA ;  ; 
wykszta³cenie *AEBAA rolnicze ; ** ; AE ; 21 ; #+inne wykszta³cenia
wy³adowanie *AEBAA elektryczne ; ** ; AE ;  ; 
wymiana  pogl¹dów ; *- ; AD ;  ; 
wymiar  sprawiedliwoœci ; *- ; AC ;  ; 
wymijaj¹ca *CAA odpowiedŸ ; ** ; AD ;  ; #!!
wymowa  sceniczna ; ** ; AD ; 21 ; 
wypadek  drogowy ; ** ; AC ;  ; 
wypadek  losowy ; ** ; AC ;  ; 
wyraz  twarzy ; *- ; AC ;  ; 
wyrazy  uznania ; *- ; AG ;  ; #lp?
wyrok  prawomocny ; ** ; AC ; 21 ; 
wyrok  œmierci ; *- ; AC ;  ; 
wyrostek *ACABBA robaczkowy ; ** ; AC ;  ; #wariant: œlepa kiszka
wyrzutek  spo³eczeñstwa ; *- ; AA ;  ; 
wyrzutnia  rakietowa ; ** ; AD ;  ; 
wyrzut  sumienia ; *- ; AC ;  ; 
wysokie  progi ; ** ; AG ;  ; #wysoki próg
wysokoœæ  bezwzglêdna ; ** ; AD ;  ; #21?
wytarta  formu³a ; ** ; AD ;  ; 
wyznanie *AEBAA moj¿eszowe ; ** ; AE ;  ; 
wy¿  demograficzny ; ** ; AC ; 21 ; 
wy¿sza  instancja ; ** ; AD ;  ; 
wy¿sza  uczelnia ; ** ; AD ;  ; #warianty?
wy¿sze  sfery ; ** ; AG ;  ; 
wzloty i upadki ; *-* ; AG ; 321 ; 
wzór  doskona³oœci ; *- ; AC ;  ; 
zaawansowana  ci¹¿a ; ** ; AD ;  ; 
zabawa  na dwadzieœcia *DBDB cztery *DBAB fajerki ; *---- ; AD ;  ; 
zabawa  w kotka *ABAC i myszkê ; *---- ; AD ;  ; 
zabójcze  spojrzenie ; ** ; AE ;  ; 
zachód  s³oñca ; *- ; AC ;  ; 
zacisze  domowe ; ** ; AE ; 21 ; 
zadanie *AEBAA domowe ; ** ; AE ;  ; 
zajêcza  warga ; ** ; AD ;  ; 
zaklêty *CAB kr¹g ; ** ; AC ;  ; 
zakon  moj¿eszowy ; ** ; AC ;  ; 
zamek *ACABBA b³yskawiczny ; ** ; AC ;  ; 
zapalenie *AEBAA p³uc ; *- ; AE ;  ; 
zasi³ek  rodzinny ; ** ; AC ;  ; 
zas³ona  dymna ; ** ; AD ;  ; 
zatwardzia³y  grzesznik ; ** ; AA ;  ; 
zawiadowca  stacji ; *- ; AA ;  ; 
zawodnik  rezerwowy ; ** ; AA ; 21 ; 
zawody  sportowe ; ** ; AG ;  ; 
zawór  bezpieczeñstwa ; *- ; AC ;  ; 
z¹b  czasu ; *- ; AC ;  ; 
z¹bek  czosnku ; *- ; AC ;  ; 
zbieg *ACABA okolicznoœci ; *- ; AC ;  ; 
zb³¹kana  owca ; ** ; AD ;  ;
$ zb³¹kana  owieczka ; ** ; AD ;  ; 
zbrojne  ramiê *AECB ; ** ; AE ;  ; 
zdobywca  serc ; *- ; AA ;  ; 
zegarek  kieszonkowy ; ** ; AC ; 21 ; 
zespó³  kameralny ; ** ; AC ;  ; 
zew  krwi ; *- ; AC ;  ; 
zezowate  szczêœcie ; ** ; AE ;  ; 
z¹b m¹droœci *ADCCA ; *- ; AC ;  ; 
ziarno  niezgody ; *- ; AE ;  ; 
zielona  granica ; ** ; AD ;  ; 
zielona  szko³a ; ** ; AD ;  ; 
ziemia  obiecana ; ** ; AD ;  ; 
ziemia  ojczysta ; ** ; AD ;  ; 
ziemski  byt ; ** ; AC ; 21 ; 
zima  kalendarzowa ; ** ; AD ; 21 ; 
zimny  bufet ; ** ; AC ;  ; 
zimny  chów ; ** ; AC ;  ; 
zimny  drañ ; ** ; AA ;  ; 
zimny  pot ; ** ; AC ;  ; 
zjadacz  chleba ; *- ; AA ;  ; 
z³o konieczne ; -- ; AE ;  ; 
z³odziej  kieszonkowy ; ** ; AA ;  ; 
zmiana  dekoracji ; *- ; AD ;  ; 
zmiana  warty ; *- ; AD ;  ; 
zmowa  milczenia ; *- ; AD ;  ; 
zmys³  smaku ; *- ; AC ;  ; #+inne zmys³y
znak  drogowy ; ** ; AC ;  ; 
znak  fabryczny ; ** ; AC ;  ; 
znak  firmowy ; ** ; AC ;  ; 
znak  towarowy ; ** ; AC ;  ; 
znak  zapytania ; *- ; AC ; pytajnik ; 
znak  zodiaku ; *- ; AC ;  ; 
znak  szczególny ; ** ; AC ;  ; 
znieczulenie *AEBAA miejscowe ; ** ; AE ;  ; #+ogólne
zrz¹dzenie  losu ; *- ; AE ;  ; 
zsiad³e  mleko ; ** ; AE ;  ; 
zupa  b³yskawiczna ; ** ; AD ;  ; 
zupa  grochowa ; ** ; AD ; grochówka ; 
zupa  jarzynowa ; ** ; AD ;  ; 
zupa  mleczna ; ** ; AD ;  ; 
zupa  nic ; *- ; AD ;  ; 
zupa  rybna ; ** ; AD ;  ; 
zupa  z *GBBAA wk³adk¹ ; *-- ; AD ;  ; 
zwi¹zek  frazeologiczny ; ** ; AC ;  ; 
zwi¹zek  ma³¿eñski ; ** ; AC ;  ; 
zwi¹zek  organiczny ; ** ; AC ;  ; 
zwierzê *AECA drapie¿ne ; ** ; AE ; drapie¿nik ; 
zwolnienie *AEBAA dyscyplinarne ; ** ; AE ;  ; 
zwolnienie *AEBAA lekarskie ; ** ; AE ;  ; 
zwrot  grzecznoœciowy ; ** ; AE ; 21 ; 
Ÿród³o  artezyjskie ; ** ; AE ;  ; 
Ÿród³o  dochodu ; *- ; AE ;  ; 
Ÿród³o  energii ; *- ; AE ;  ; 
Ÿród³o  informacji ; *- ; AE ;  ; 
Ÿród³o  ¿ycia ; *- ; AE ;  ; 
¿elazna  dyscyplina ; ** ; AD ;  ; 
¿elazna  kurtyna ; ** ; AD ;  ; #21?
¿elazna  porcja ; ** ; AD ;  ; 
¿elazna  racja ; ** ; AD ;  ; 
¿elazna  rezerwa ; ** ; AD ;  ; 
¿elazna  rêka ; ** ; AD ;  ; 
¿elazny  kapita³ *ACAAAAA ; ** ; AC ;  ; 
¿ó³ta  febra ; ** ; AD ;  ; 
¿ó³te  papiery *AGAB ; ** ; AE ;  ; #+wariackie, zielone
¿ó³ty  ser ; ** ; AC ; 21 ; 
¿ycie *AEBAA doczesne ; ** ; AE ; 21 ; 
¿ycie *AEBAA rodzinne ; ** ; AE ; 21 ; 
¿y³ka  handlowa ; ** ; AD ;  ; 
¿ywa  gotówka ; ** ; AD ;  ; 
¿ywa  kronika ; ** ; AD ;  ; 
¿ywa  pochodnia ; ** ; AD ;  ; 
¿ywa  rana *ADAAA ; ** ; AD ;  ; 
¿ywa  reklama ; ** ; AD ;  ; 
¿ywe  srebro ; ** ; AE ;  ; 
Akademickie Zrzeszenie *AEBAA Sportowe ; *** ; AE ; AZS ; 
Anio³ *AAACAAB Pañski ; -- ; AA ;  ; 
Armia Krajowa ; ** ; AD ; AK ;
Armia Ludowa ; ** ; AD ; AL ; #inne armie
Baranek Bo¿y ; ** ; AB ;  ; 
Bia³y Dom ; ** ; AC ;  ; 
Chleb Pañski ; ** ; AC ; hostia ; 
Chrystusowy wiek *ACABA ; ** ; AC ; 21 ; #peryfraza 
Cia³o Pañskie ; ** ; AE ;  ; #wariant?
Czerwona Gwardia ; ** ; AD ; 21 ; #wieloznaczne
Czerwony Krzy¿ ; ** ; AC ; ; 
Daleki Wschód ; ** ; AC ; ; #wariant: Orient?
Departament Stanu ; *- ; AC ;  ; 
Diabla Góra ; ** ; AD ;  ; #termin?
Dzieñ *ACACBAA Zaduszny ; ** ; AC ; Zaduszki ; #eytkieta?
Dzikie Pola ; ** ; AG ;  ; 
Generalna Gubernia ; ** ; AD ; GG ; 
Gwardia Ludowa ; ** ; AD ; GL ; 
Komisja Edukacji Narodowej ; *-- ; AD ; KEN ; 
Kongres Wiedeñski ; ** ; AC ;  ; 
Konwent Narodowy ; ** ; AC ;  ; 
Kozio³ek Mato³ek *ABAC ; *- ; AB ;  ; 
Królestwo *AEAAAB Kongresowe ; ** ; AE ; Kongresówka ; 
$ Królestwo *AEAAAB Polskie ; ** ; AE ; ;
Królowa Niebieska ; ** ; AD ; Maryja ; 
Królowa Niebios ; *- ; AD ;  ; 
Krzy¿ Po³udnia ; *- ; AC ;  ; 
Legia Cudzoziemska ; ** ; AD ;  ; 
Liga  Kobiet ; *- ; AD ;  ; 
Liga  Narodów ; *- ; AD ;  ; 
Matka  Boska ; ** ; AD ;  ; #wariant
Mêka  Pañska ; ** ; AD ;  ; 
Najwy¿sza  Izba  Kontroli ; **- ; AD ; NIK ; 
Niedziela Palmowa ; ** ; AD ; 21 ; 
Nowe  Przymierze ; ** ; AE ;  ; 
Nowy  Rok ; ** ; AC ;  ; 
Nowy  Œwiat ; ** ; AC ; Ameryka ; 
Nowy  Testament ; ** ; AC ;  ; #czasem skrót NT
Organizacja  Narodów  Zjednoczonych ; *-- ; AD ; ONZ ; 
Pan Bóg ; *- ; AA ; 1,2 ; 
$ Pan  Niebios ; *- ; AA ;  ; 
$ Pan  Wszechmog¹cy ; ** ; AA ; 2 ; 
$ Pan  Zastêpów ; *- ; AA ;  ; #mnóstwo innych wariantów, zamiast Pan czêsto mo¿e byæ Bóg
Polska  Akademia  Nauk ; **- ; AD ; PAN ; 
Polska  Akademia  Umiejêtnoœci ; **- ; AD ; PAU ; 
Polska  Kongresowa ; ** ; AD ;  ; #wariant Kongresówki ?
Polska  Rzeczpospolita *ADACCBAD Ludowa ; *** ; AD ; PRL ; 
Prezes Rady *ADAAA Ministrów ; *-- ; AA ; premier ; 
Przenajœwiêtsza  Panienka ; ** ; AA ; 21 ; 
Przenajœwiêtszy  Sakrament ; ** ; AC ;  ; #warianty?
Rewolucja  PaŸdziernikowa ; ** ; AD ;  ; #21?
S¹d  Najwy¿szy ; ** ; AC ; SN ; 
S¹dny  Dzieñ ; ** ; AC ;  ; #raczej Dzieñ S¹du, S¹d Ostateczny itp.
Stary  Testament ; ** ; AC ; ST ; 
Statua *ADAAC Wolnoœci ; *- ; AD ;  ; #2wo
Stolica  Apostolska ; ** ; AD ;  ; #wariant: Watykan?
Syn  Bo¿y ; ** ; AA ; 21 ; 
$ Syn  Cz³owieczy ; ** ; AA ;  ; 
$ Jezus Chrystus ; ** ; AA ; 1, 2 ; #imiê - wsg?
Szko³a  G³ówna  Gospodarstwa Wiejskiego ; **-- ; AD ; SGGW ; 
Trzecia  Rzesza ; ** ; AD ;  ; 
Wielka  Emigracja ; ** ; AD ;  ; 
Wielka  Niedziela ; ** ; AD ;  ; #wariant: wielkanoc?
Wielka  Sobota ; ** ; AD ;  ; 
Wielka  Œroda ; ** ; AD ;  ; 
Wielki  Czwartek ; ** ; AC ;  ; 
Wielki  Pi¹tek *ACABA ; ** ; AC ;  ; 
Wielki  Poniedzia³ek ; ** ; AC ;  ; 
Wielki  Tydzieñ ; ** ; AC ;  ; 
adamowy strój *ACACACB ; ** ; AC ; 21 ; #peryfraza
apel poleg³ych *AAEC ; *- ; AC ;  ; 
arka przymierza *AEBAB ; *- ; AD ;  ; 
artyku³ pierwszej *CAB potrzeby ; *-- ; AC ;  ; 
babie *CBB lato ; ** ; AE ;  ; 
bezgrzeszne lata *AGDAA ; ** ; AG ;  ; #21? wariant: dziecinstwo?
bieg dru¿ynowy *CAB ; ** ; AC ;  ; 
bieg³y *AAEC ksiêgowy ; ** ; AA ;  ; 
bieg³y *AAEC s¹dowy ; ** ; AA ;  ; 
biegun ciep³a *AEAAAB ; *- ; AC ;  ; 
biegun zimna *AEAAAB ; *- ; AC ;  ; #+inne bieguny
b³êdne ko³o *AEAAAB ; ** ; AE ;  ; 
bocianie *CBB gniazdo ; ** ; AE ;  ; #21?
bo¿e *CAA cielê *AECA ; ** ; AE ;  ; 
brat ³ata *ADAAA ; ** ; AA ;  ; 
brat polski *CBA ; ** ; AA ; arianin ; 
but *ACAABAA hiszpañski *CBA ; ** ; AC ; 21 ; 
cal angielski *CBA ; ** ; AC ;  ; 
celuj¹cy *CAA uczeñ *AAAAB ; ** ; AA ;  ; #21?
chart angielski *CBA ; ** ; AB ;  ; #+inne charty; psy
chodz¹cy *CAA szkielet ; ** ; AC ;  ; 
chude lata *AGDAA ; ** ; AG ; 21 ; #chudy rok?
chytry *CAA lis ; ** ; AB ;  ; 
cia³o sta³e *CAB; ** ; AE ;  ; 
ciasto francuskie *CBA ; ** ; AE ; 21 ; 
cielêce lata *AGDAA ; ** ; AG ;  ; 
ciemna *CAB karta *ADAAA ; ** ; AD ;  ; 
ciemna *CAB kuchnia ; ** ; AD ;  ; 
ciemna *CAB masa ; ** ; AD ;  ; 
ciemna *CAB strona ; ** ; AD ;  ; 
ciep³a *CAB posadka ; ** ; AD ;  ; 
ciep³e kraje *ACACACB ; ** ; AG ;  ; 
ciep³o *AEAAAB rodzinne ; ** ; AE ;  ; #21?
ciêty *CAB dowcip ; ** ; AC ;  ; 
ciêty *CAB jêzyk ; ** ; AC ;  ; 
cisza przed burz¹ *ADACABB ; *-- ; AD ;  ; 
czarne z³oto *AEAAAB ; ** ; AE ; wêgiel ; 
czas miejscowy *CAB ; ** ; AC ;  ; #21?
czas przesz³y *CAB ; ** ; AC ;  ; 
czas przysz³y *CAB ; ** ; AC ;  ; #+teraŸniejszy
czêœæ mowy ; *- ; AD ;  ; 
czêœæ œwiata ; *- ; AD ;  ; 
czêœæ zamienna ; ** ; AD ;  ; 
czyn zbrojny *CAB ; ** ; AC ;  ; 
czynniki pierwsze *CAB ; ** ; AG ;  ; 
czysta *CAB forma ; ** ; AD ;  ; 
czyste *CAB rêce ; -- ; AG ;  ; 
diabe³ *AAADAB wcielony ; ** ; AA ; 21 ; 
d³ugie  spodnie *AGCC ; ** ; AG ;  ; 
dobra *AGDAA doczesne ; ** ; AG ; 21 ; 
dobra *CAA dusza ; ** ; AD ;  ; 
dobra *AGDAA dziedziczne ; ** ; AG ; 21 ; 
dobra *AGDAA koronne ; ** ; AG ;  ; 
dobra *CAA nowina ; ** ; AD ; Ewangelia ; 
dobra *CAA partia ; ** ; AD ;  ; 
dobra *CAA wola *ADACBAA ; ** ; AD ;  ; 
dobre *CAA imiê ; ** ; AE ;  ; 
dodatek funkcyjny *CAB ; ** ; AC ;  ; 
dojrza³y *CAB umys³ ; ** ; AC ; 21 ; 
dojrza³y *CAB wiek *ACABA ; ** ; AC ; 21 ; 
drakoñska  kara *ADAAA ; ** ; AD ;  ; #21?
drêtwa *CAB mowa ; ** ; AD ;  ; #gadka?
drobne *CAB pieni¹dze ; ** ; AG ; 1 ; 
droga *ADAB krzy¿owa *CAB ; ** ; AD ;  ; 
drogi *ADAB oddechowe ; ** ; AG ;  ; 
dryl  wojskowy *CAB ; ** ; AC ; 21 ; 
drzewo  iglaste *CAB ; ** ; AE ;  ; 
drzewo  liœciaste *CAB ; ** ; AE ;  ; 
drzewo wiadomoœci *ADCCA z³ego *AEBBB i dobrego *AEBBB ; *---- ; AE ;  ; #2wo (dobro)
dworzec  osobowy *ACC ; ** ; AC ;  ; 
dwusieczna *ADACCBA k¹ta ; *- ; AD ; 1 ; 
dziad *AAAAAA  koœcielny *CAB ; ** ; AA ;  ; #'dziadzie' nie 'dziadu' (wtedy dziadowie koœcielni)?
dzia³ *ACAAAAA wodny ; ** ; AC ;  ; 
dziennik  ustaw *ADAAA ; *- ; AC ;  ; 
dziesi¹ta *CAB woda po kisielu ; *--- ; AD ;  ; #pi¹ta?
dzika *CBA pla¿a ; ** ; AD ;  ; 
dzika *CBA ró¿a ; ** ; AD ;  ; 
dzika *CBA œwinia ; ** ; AD ; dzik ; 
dziki *CBA bez *ACAAAAA ; ** ; AC ;  ; 
dziki *CBA lokator ; ** ; AA ;  ; 
dziki *CBA osio³ *ABABAB ; ** ; AB ;  ; 
dzika *CBA gêœ ; ** ; AD ;  ; 
dzikie  zwierzê *AECA ; ** ; AE ;  ; 
dŸwig  osobowy *CAB ; ** ; AC ; winda ; 
fale *ADACBABA œrednie *CBB ; ** ; AG ;  ; #+inne fale
farbowany *CAB lis ; ** ; AB ;  ; 
feeria  barw *ADAAA ; ** ; AD ;  ; #kolorów
francuski *CBA piesek ; ** ; AB ;  ; 
gaz *ACAAAAA ³zawi¹cy ; ** ; AC ;  ; 
gaz *ACAAAAA rozweselaj¹cy ; ** ; AC ;  ; 
genera³ *AAAAAA broni *ADCAAA ; *- ; AA ;  ; 
genera³ *AAAAAA brygady ; *- ; AA ; ; 
gêsi *ADCCA kapitoliñskie ; ** ; AG ;  ; 
g³êbia myœli ; *- ; AD ;  ; 
g³uchy *CAB telefon ; ** ; AC ;  ; 
g³upie  cielê *AECA ; ** ; AE ;  ; 
gor¹ca *CAA krew *ADCAAA ; ** ; AD ;  ; 
gor¹czka  z³ota *AEAAAB ; *- ; AD ;  ; 
gospodarz *AAABD klasy *ADAAA ; *- ; AA ;  ; 
gra *ADAAA cieni *ACACBAA ; *- ; AD ;  ; 
gra *ADAAA w chowanego *ABC ; *-- ; AD ;  ; #wsg: w chowanego?
grom *ACAAAAA z jasnego nieba ; *--- ; AC ;  ; 
groszek *ACABBA pachn¹cy ; ** ; AC ;  ; 
grzech  pierworodny *CAB ; ** ; AC ;  ; 
grzyb  truj¹cy ; ** ; AC ; 21 ; 
izba chorych *AAEB ; *- ; AD ;  ; 
jarzmo niewoli *ADACBAA ; *- ; AE ;  ; 
jeden *CCBA bies ; -- ; AB ;  ; #etykieta? (DAA?)
$ jeden *CCBA diabe³ *AAADAB ; -- ; AA ;  ; 
$ jedna *CCBA cholera ; -- ; AD ;  ; 
jêzyk  obcy *CAA ; ** ; AC ; 21 ; 
kaleka *AABDBB ¿yciowy ; ** ; AA ;  ; #kaleka ¿yciowa?
kapusta w³oska *CBA ; ** ; AD ; 21 ; 
kara *ADAAA œmierci ; *- ; AD ;  ; #+kara g³ówna
kara *ADAAA dyscyplinarna ; ** ; AD ;  ; 
k¹t rozwarty ; ** ; AC ;  ; 
klucz *ACACBBA francuski *CBA ; ** ; AC ;  ; 
klucz *ACACBBA wiolinowy ; ** ; AC ;  ; #+inne klucze
kocie *CBB ³by ; ** ; AG ;  ; #wariant: bruk?
kocie *CBB oczy *AEACA ; ** ; AG ;  ; 
kodeks karny *CAB ; ** ; AC ;  ; #+inne kodeksy
ko³acz *ACACBBA weselny ; ** ; AC ;  ; 
ko³o *AEAAAB fortuny ; *- ; AE ;  ; 
ko³o *AEAAAB m³yñskie ; ** ; AE ; 21 ; 
ko³o *AEAAAB podbiegunowe ; ** ; AE ;  ; 
ko³o *AEAAAB polarne ; ** ; AE ;  ; 
ko³o *AEAAAB ratunkowe ; ** ; AE ;  ; 
ko³o *AEAAAB zamachowe ; ** ; AE ;  ; 
ko³o *AEAAAB zêbate ; ** ; AE ; zêbatka ; 
koñska szczêka *ADAB ; ** ; AD ;  ; 
kopalnia z³ota *AEAAAB ; *- ; AD ;  ; 
kosz *ACACBBA na œmieci *ACABBB ; *-- ; AC ;  ; 
koœció³ prawos³awny *CAB ; ** ; AC ;  ; 
koœció³ reformowany ; ** ; AC ;  ; 
koœæ *ADCCA ogonowa *CAB ; ** ; AD ;  ; #2wo
kotlet schabowy *CAB ; ** ; AC ;  ; 
kraina cieni *ACACBAA ; *- ; AD ;  ; 
królestwo *AEAAAB bo¿e *CAA ; ** ; AE ;  ; #po³¹czyæ z 'królestwo niebieskie'
krótkie spodnie *AGCC ; ** ; AG ;  ; 
krzywe *CAB zwierciad³o ; ** ; AE ;  ; 
kula *ADACBABA ziemska ; ** ; AD ;  ; 
$ kurczê *AECA pieczone ; -- ; AE ;  ; 
kurze *CAA ³apki *AGBA ; ** ; AG ;  ; 
lany *CAB poniedzia³ek ; ** ; AC ;  ; #œmigus-dyngus - jedno s³owo?
lata *AGDAA t³uste ; ** ; AG ; 21 ; #rok?
lataj¹cy *CAA dywan ; ** ; AC ;  ; 
lataj¹cy *CAA spodek ; ** ; AC ;  ; $po³¹czyæ z talerzem
lataj¹cy *CAA uniwersytet ; ** ; AC ;  ; 
lataj¹cy *CAA Holender ; ** ; AC ;  ; #czm? nazwa 
leñ *AAABCA patentowany ; ** ; AA ; 21 ; 
leñ *AAABCA œmierdz¹cy ; ** ; AA ; 21 ; #wariant?
lep *ACAAAAA na muchy ; *-- ; AC ;  ; 
lepszy goœæ *AAABCB ; ** ; AA ;  ; 
lewy *CAB prosty ; ** ; AC ;  ; 
lewy *CAB sierpowy ; ** ; AC ;  ; 
lewy *CAB skrzyd³owy *AAEC ; ** ; AA ;  ; 
litera prawa *AEAAAB ; *- ; AD ;  ; 
lud *ACAAAAA pracuj¹cy ; ** ; AC ;  ; #21? 2 etykiety, ta sama odmiana?
lwie *CBB serce ; ** ; AE ;  ; 
³abêdzi *CBB œpiew ; ** ; AC ;  ; 
³abêdzia *CBB szyja ; ** ; AD ;  ; 
³awa oskar¿onych *AAEC ; *- ; AD ;  ; #+przysiêg³ych
³owca g³ów *ADAAA ; *- ; AA ;  ; 
malowany *CAB król *AAAAB ; ** ; AA ;  ; 
ma³a *CAB czarna ; ** ; AD ;  ; 
ma³a *CAB poligrafia ; ** ; AD ;  ; 
ma³e *CAB piwo ; ** ; AE ;  ; 
ma³pie *CBB miny ; ** ; AG ;  ; #lp?
martwy *CAB punkt ; ** ; AC ;  ; 
martwy *CAB sezon ; ** ; AC ;  ; 
matka chrzestna *CAB ; ** ; AD ; 2 ; 
matka prze³o¿ona *CAB ; ** ; AD ;  ; 
milcz¹cy *CAA œwiadek ; ** ; AA ;  ; #+niemy œwiadek
minimum *AED socjalne ; -* ; AE ;  ; 
m³oda *CAB para *ADAAA ; ** ; AD ;  ; 
m³ode *CAB kartofle ; ** ; AG ;  ; 
$ m³ode *CAB ziemniaki ; ** ; AG ;  ; 
moje *EEBB uszanowanie ; -- ; AE ;  ; #odm?
most zwodzony ; ** ; AC ;  ; 
myœl *ADCCA przewodnia ; ** ; AD ;  ; 
nadzór budowlany *CAB ; ** ; AC ;  ; 
namaszczenie *AEBAA chorych *AAEB ; *- ; AE ;  ; 
niedŸwiedzia *CBB przys³uga ; ** ; AD ;  ; 
niedŸwiedzia *CBB si³a ; ** ; AD ;  ; 
nieproszony goœæ *AAABCB ; ** ; AA ;  ; 
nieprzemakalny p³aszcz *ACACBBA ; ** ; AC ; 21 ; 
niewierny *CAB Tomasz ; ** ; AA ;  ; 
ni¿ *ACACACB demograficzny ; ** ; AC ; 21 ; 
nowa miot³a *ADAAA ; ** ; AD ;  ; 
obóz karny *CAB ; ** ; AC ; 21 ; 
odgrzewany *CAB dowcip ; ** ; AC ;  ; 
$ odgrzewany *CAB kawa³ ; ** ; AC ;  ; #+¿art?
ojciec chrzestny *CAB ; ** ; AA ; 2 ; 
ojciec duchowny *CAB ; ** ; AA ;  ; 
olej *ACACACB kamforowy ; ** ; AC ;  ; 
olej *ACACACB lniany ; ** ; AC ;  ; 
olej *ACACACB napêdowy ; ** ; AC ;  ; #skrót ON? +inne oleje
ostatnia wola *ADACBAA ; ** ; AD ; testament ; 
oœ odciêtych *ADACCBA ; *- ; AD ;  ; #warianty 'oœ X', 'OX'? +rzêdnych
oœle *CBB ucho *AEACA ; ** ; AE ;  ; #2wo
owczarek niemiecki *CBA ; ** ; AB ;  ; #+inne owczarki, psy
owoc zakazany ; ** ; AC ; 21 ; 
palec wskazuj¹cy ; ** ; AC ;  ; #+inne palce
pan m³ody *CAB ; ** ; AA ;  ; 
panna m³oda *CAB ; ** ; AD ;  ; 
pañstwo *AFA m³odzi *CAB ; ** ; AF ;  ; 
para *ADAAA wodna ; ** ; AD ;  ; 
park angielski *CBA ; ** ; AC ;  ; 
$ ogród angielski *CBA ; ** ; AC ; ;
park francuski *CBA ; ** ; AC ;  ; #+ogród
pi¹te ko³o *AEAAAB u wozu ; **-- ; AE ;  ; 
pierwsza *CAB dama ; ** ; AD ;  ; #wielkie litery?
pierwsza *CAB jaskó³ka ; ** ; AD ;  ; 
pierwsza *CAB klasa ; ** ; AD ;  ; 
pierwsza *CAB komunia ; ** ; AD ;  ; 
pierwsza *CAB osoba ; ** ; AD ;  ; 
pierwsza *CAB pomoc ; ** ; AD ;  ; 
pierwsza *CAB zmiana ; ** ; AD ;  ; #+druga (trzecia?)
pierwsze *CAB imiê ; ** ; AE ;  ; 
pierwsze *CAB œniadanie ; ** ; AE ;  ; 
p³aszcz *ACACBBA k¹pielowy ; ** ; AC ;  ; 
p³eæ *ADCAAA piêkna *CAB ; ** ; AD ;  ; #wariant: kobiety?
poci¹g osobowy *CAB ; ** ; AC ;  ; 
podesz³y *CAB wiek *ACABA ; ** ; AC ;  ; #21?
podzia³ *ACAAAAA godzin ; *- ; AC ;  ; 
pokorne cielê *AECA ; ** ; AE ;  ; 
pole *AEBAA karne *CAB ; ** ; AE ;  ; 
pora *ADAAA deszczowa ; ** ; AD ;  ; #+d¿d¿ysta
pora *ADAAA roku ; ** ; AD ;  ; 
poroniony *CAB pomys³ ; ** ; AC ;  ; 
praca u podstaw *ADAAA ; *-- ; AD ;  ; 
pracownik fizyczny *CAB ; ** ; AA ;  ; 
prawa *AEAAAB autorskie ; ** ; AG ;  ; #prawo autorskie: osobny wsg
prawa *AEAAAB cz³owieka ; *- ; AG ;  ; 
prawa *AEAAAB kardynalne ; ** ; AG ;  ; #?
prawa *AEAAAB natury ; *- ; AG ;  ; #lp?
prawa *CAB rêka ; ** ; AD ;  ; 
prawo karne *CAB ; ** ; AE ;  ; #+inne prawa
prawy skrzyd³owy *AAEC ; ** ; AA ;  ; 
proszony *CAB chleb ; ** ; AC ; ; #21?
psie *CBB pieni¹dze ; ** ; AG ;  ; #po³¹czyæ z 'psi grosz'; psi pieni¹dz?
punkt karny *CAB ; ** ; AC ;  ; 
rada *ADAAA nadzorcza ; ** ; AD ;  ; 
rada *ADAAA pedagogiczna ; ** ; AD ;  ; 
raj *ACACACB na ziemi ; *-- ; AC ;  ; 
raj *ACACACB utracony ; ** ; AC ;  ; 
ranne *CAB pantofle *AGCC ; ** ; AG ;  ; 
ranny *CAB ptaszek *AAADBA ; ** ; AA ;  ; 
raport karny *CAB ; ** ; AC ;  ; 
redaktor naczelny *CAB ; ** ; AA ;  ; 
regulamin wojskowy *CAB ; ** ; AC ;  ; 
robotnik wykwalifikowany ; ** ; AA ;  ; #21?
rodzony *CAB brat ; ** ; AA ;  ; 
rodzony *CAB ojciec ; ** ; AA ;  ; 
rok *ACEA koœcielny *CAB ; ** ; AC ;  ; 
rozmna¿anie *AEBAA przez podzia³ *ACAAAAA ; *-- ; AE ;  ; 
rozstajne drogi *ADAB ; ** ; AG ;  ; 
rozstrój *ACACACB nerwowy ; ** ; AC ;  ; 
rozstrój *ACACACB ¿o³¹dka ; *- ; AC ;  ; 
